"text		",label,president
"#Trump is literally asleep at the RNC event. Asleep. #TrumpAssasinationAttempt #Trump2024 #Trump	",0,trump
So... You didn't know what 45-47 meant? Now you do! #Trump,2,trump
Rep. Marjorie Taylor Greene (R-GA.) calls out Rep. Jamie Raskin (D-MD.) and the Democrats after a subcommittee hearing in which Dr. Anthony Fauci testified about the COVID response. Do you agree with Rep. Greene’s statement?(Video via @RepMTG) #OAN #Hearing #MTG #Trump #Floyd,1,trump
"Didn't like the way this @JDVance1 bloke (newly picked as #Trump's running mate) slagged off the UK lately. Looked into him. Not great. Made a parody song inspired by @ABBA called """"Vance VP"""" Shout out #americast (@BBCsarahsmith/@awzurcher) & @RestIsPolitics for profiles",0,trump
"“I’m a fast healer…” Also, Trump explains that it only hit the “lobe” as he touches the top of his ear. #Trump #TrumpPressConference",1,trump
Apology accepted in advance… I won’t hold my breath. #arizona #border #trump,2,trump
"Hearing Secret Service asking each other, """"What are we doing!?"""", """"Where are we going from here?,"""" on the mic after #Trump was shot at...is Hella concerning. TF do you mean what are we doing? Like, this is your time to perform, and you're asking questions under fire???",0,trump
Somebody Show This To Dennis Quaid #trending #Trump #Biden #harris #Truth,1,trump
This is how he proves how smart he is and how dumb his followers are. #trump #maga #conservatives #patriots #democrats #biden #trump2024 #biden2024 #MAGAMorons #TrumpDerangementSyndrome Jarod Ivana,0,trump
Let's Make America Gorgeous Again! #TRUMP #MAGA,2,trump
"As Donald Trump gets attacked today for his comments at the National Association of Black Journalists meeting in Chicago over his confusion about whether or not Kamala Harris is black or Indian, keep in mind this evidence showing she has identified as Indian. #KamalaHarris",1,harris
"I'm the real deal, and I'm done with the Democrats. #DNCConvention2024 #DNC2024 #DNC #JoeBiden #Trump #KamalaHarris #RFKJr #politics #Democrat #Republican",0,harris
#MeghanMarkle pulled a #KamalaHarris and said I'm not your Black boogeywoman punching bag for y'all to clout chase and clickbait off me for sport! Nothing is more powerful than refusing to accept abuse in the name of status. Put some respect in her STILL royal name! #Megexit,2,harris
"An update on my voice, and talking about Kamala. Exciting stuff! #KamalaHarris #2024election #HarrisForPresident #Harris #KamalaHarris2024 #Harris2024",2,harris
So this happened Kamala Harris. She grabbed my hands & looked me right in the eye & I told her how much we love her. I’m never going to come down from this high NEVER. WE ARE GOING TO WIN #WereNotGoingBack #KamalaHarris,2,harris
Nov 5th Trash Day - feat Donald Trump the trash collector #KamalaHarris #JoeBiden #TrashDay #GarbageTruck,0,harris
"As a Howard grad, I knew about our alum #KamalaHarris. I remember at one alumni club meeting talking about how her star was on the rise. I also used to watch State of the Black Union every year on C-SPAN, and I became a fan forever when I saw this in 2006",2,harris
"The absolute look of disdain @VP gives Johnson when he stands up for the very first time almost an hour in! You can just see the eye roll! She’s good, very very good! #KamalaHarris",2,harris
Who or what was behind Kamala Harris during her speech? #KamalaHarris #Harris #Election #Mystery #Demon #Alien #Ufotwitter,1,harris
"What a fun story by @KSTP on our Presidential Cookie Poll, @realDonaldTrump is currently leading @KamalaHarris #mnbestbakery #mnbestdonuts  #bestriverroadbakery #tcltop5bakerymn #kqrsbestdonuts #hometownpride #redwingmn #cookiepoll2024 #donaldtrump #kamalaharris",1,harris
